event_id,event_start_date,event_end_date,occurrence_year,occurrence_month,end_year,end_month,event_year,event_month,event_quarter,year_month,loss_amount_10k_cny,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,bank_involved_code_raw,num_banks_involved,primary_bank_code,province_occurred,city_occurred,causal_factor,event_type,business_line,event_duration_months,description
2315,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,10.0,100000.0,0.0,100000.0,11.51293546492023,Medium,0,153,1,153,Hebei,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Hebei, Unknown city."
2316,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,13,1,13,"Hebei,Shanghai",Shijiazhuang,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Hebei,Shanghai, Shijiazhuang."
2317,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,200.0,2000000.0,0.0,2000000.0,14.508658238524095,High,0,16,1,16,Hebei,Shijiazhuang,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Hebei, Shijiazhuang."
2318,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,220.0,2200000.0,0.0,2200000.0,14.603968372873895,High,0,14,1,14,Hebei,Shijiazhuang,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Hebei, Shijiazhuang."
2319,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,25.0,250000.0,0.0,250000.0,12.429220196836383,Medium,0,5,1,5,,Huangshan,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Unknown province, Huangshan."
2320,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,16,1,16,"Beijing,Tianjin",,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Beijing,Tianjin, Unknown city."
2321,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,3.0,30000.0,0.0,30000.0,10.308985993422082,Low,0,7,1,7,Jilin,Jilin,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Jilin, Jilin."
2322,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,40.3908,403908.0,0.0,403908.0,12.908944884046502,Medium,0,7,1,7,,,Process,"Clients, products & business practices",Trading & sales,,"Operational risk event: Clients, products & business practices caused by Process in Trading & sales located in Unknown province, Unknown city."
2323,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,155,1,155,Henan,Nanyang,Process,"Execution, delivery & process management",Commercial banking,,"Operational risk event: Execution, delivery & process management caused by Process in Commercial banking located in Henan, Nanyang."
2324,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,3.0,30000.0,0.0,30000.0,10.308985993422082,Low,0,7,1,7,,Linfen,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Linfen."
2325,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,40.0,400000.0,0.0,400000.0,12.899222326086994,Medium,0,,0,,Chongqing,,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Chongqing, Unknown city."
2326,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,90.0,900000.0,0.0,900000.0,13.710151153416941,Medium,0,14,1,14,Chongqing,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Chongqing, Unknown city."
2327,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,40.0,400000.0,0.0,400000.0,12.899222326086994,Medium,0,6,1,6,"Inner mongolia,Inner mongolia",Hohhot,Process,"Clients, products & business practices",Commercial banking,,"Operational risk event: Clients, products & business practices caused by Process in Commercial banking located in Inner mongolia,Inner mongolia, Hohhot."
