province_occurred,city_occurred,location_id
"Beijing,Tianjin,Liaoning,Heilongjiang,Hubei,Hunan,Guangdong,Guangxi,Macao","Heihe,Qingdao,Zhuhai",LOC-0278
"Beijing,Liaoning,Guangdong,Guangxi,Macao","Qingdao,Zhuhai",LOC-0279
,Taian,LOC-0280
,Enshi,LOC-0281
,Huaihua,LOC-0282
"Jilin,Heilongjiang,Jiangsu,Shandong,Henan,Hunan,Sichuan,Yunnan","Jilin,Yichun,Xuzhou,Nanjing,Nantong,Lianyungang,Yantai,Rizhao,Huaihua,Dongfang,Chengdu",LOC-0283
"Inner mongolia,Fujian,Jiangxi,Inner mongolia","Quanzhou,Nanchang",LOC-0284
"Hunan,Guangdong,Sichuan","Hengyang,Shenzhen,Chengdu,Ziyang",LOC-0285
Henan,"Qingdao,Sanmenxia",LOC-0286
"Beijing,Jiangsu","Yancheng,Changzhou,Ali",LOC-0287
,Luoyang,LOC-0288
"Shanghai,Zhejiang",Jiaxing,LOC-0289
Beijing,Shenzhen,LOC-0290
Sichuan,"Dalian,Chengdu,Deyang,Liangshan",LOC-0291
Shanxi,"Taiyuan,Jincheng,Jinzhong,Sanmenxia,Xi'an",LOC-0292
"Hubei,Guangdong",,LOC-0293
Sichuan,"Chengdu,Meishan",LOC-0294
Shandong,"Qingdao,Binzhou,Dongying",LOC-0295
"Beijing,Shandong","Langfang,Jinan,Qingdao",LOC-0296
Anhui,"Suzhou,Xiamen,Quanzhou,Rizhao",LOC-0297
"Shanghai,Jiangxi",Nanchang,LOC-0298
"Beijing,Tianjin,Shanghai,Hunan",Shenzhen,LOC-0299
"Heilongjiang,Shandong",Harbin,LOC-0300
"Shanghai,Chongqing",Xi'an,LOC-0301
Beijing,Shangqiu,LOC-0302
Shanghai,Nanjing,LOC-0303
Beijing,Quanzhou,LOC-0304
"Shanghai,Jiangxi","Nanchang,Zhongshan",LOC-0305
,Binzhou,LOC-0306
"Beijing,Shanghai,Yunnan",,LOC-0307
"Beijing,Guangxi,Shaanxi,Xinjiang","Chongzuo,Xi'an,Bayingolin",LOC-0308
"Shanghai,Jiangxi,Guangdong",,LOC-0309
"Jiangsu,Guangxi,Chongqing",Zhenjiang,LOC-0310
"Liaoning,Hubei,Chongqing","Chengdu,Kunming,Qujing",LOC-0311
"Beijing,Hebei,Shaanxi",Taiyuan,LOC-0312
Shanxi,"Taiyuan,Jincheng",LOC-0313
"Jiangsu,Zhejiang","Suzhou,Zhenjiang,Shaoxing",LOC-0314
"Beijing,Liaoning,Heilongjiang,Shandong","Dalian,Chaoyang,Jinan",LOC-0315
"Beijing,Zhejiang","Ningbo,Chengdu,Zigong",LOC-0316
"Zhejiang,Henan","Zhengzhou,Xuchang",LOC-0317
Hunan,"Changsha,Yiyang,Chengdu,Ziyang",LOC-0318
"Sichuan,Tibet",Dazhou,LOC-0319
,Zhengzhou,LOC-0320
,"Ganzhou,Jiujiang,Xinyu,Dongfang",LOC-0321
"Beijing,Liaoning,Shandong,Guangdong,Ningxia,Xinjiang","Shijiazhuang,Baotou,Shenzhen,Yinchuan,Urumqi",LOC-0322
"Beijing,Hebei,Shanxi",,LOC-0323
,Weifang,LOC-0324
"Beijing,Jiangsu",Nanjing,LOC-0325
"Beijing,Liaoning,Henan,Guangxi,Yunnan,Shaanxi","Shenyang,Fuxin,Sanmenxia,Guilin,Weinan,Baiyin",LOC-0326
Beijing,Chaoyang,LOC-0327
"Zhejiang,Shandong,Henan,Guangdong,Sichuan","Huzhou,Lishui,Xiamen,Quanzhou,Zhumadian",LOC-0328
"Tianjin,Chongqing","Dalian,Dongfang",LOC-0329
"Hebei,Shanxi,Inner mongolia,Inner mongolia","Hohhot,Hulun buir",LOC-0330
Jiangsu,"Nanjing,Huainan",LOC-0331
Jiangsu,"Yancheng,Haidong",LOC-0332
"Hebei,Jilin,Fujian,Hunan,Guangdong,Gansu","Handan,Jilin,Nanjing,Zhenjiang,Shaoxing,Xiamen,Quanzhou,Hengyang,Nanning,Wenchang,Wuwei",LOC-0333
Hubei,"Chaoyang,Shiyan",LOC-0334
"Shandong,Henan,Hunan,Macao","Huzhou,Xiamen,Quanzhou,Zhumadian",LOC-0335
"Beijing,Hebei,Shanghai","Xingtai,Langfang,Zhengzhou,Jiaozuo,Baiyin",LOC-0336
Guangxi,Liuzhou,LOC-0337
"Beijing,Jilin,Shanghai,Shandong,Chongqing","Jilin,Changchun,Qingdao",LOC-0338
Beijing,"Cangzhou,Chaoyang",LOC-0339
"Beijing,Inner mongolia,Shanghai,Zhejiang,Fujian,Inner mongolia","Tongliao,Putian",LOC-0340
Hunan,Changchun,LOC-0341
Liaoning,"Shenyang,Yichun,Guilin",LOC-0342
"Fujian,Henan,Guangdong","Xiamen,Quanzhou,Zhengzhou,Shenzhen",LOC-0343
"Beijing,Inner mongolia,Jilin,Zhejiang,Anhui,Jiangxi,Shandong,Guizhou,Inner mongolia","Baotou,Jilin,Harbin,Nanjing,Nantong,Wenzhou,Ningbo,Hangzhou,Shaoxing,Xuancheng,Putian,Qingdao,Yantai,Zhengzhou",LOC-0344
