business_line,event_type,causal_factor,province_occurred,year_month,event_count,total_loss_cny,avg_loss_cny,median_loss_cny,max_loss_cny,high_loss_count,avg_banks_involved,month_start,event_count_lag_1,total_loss_lag_1,high_loss_count_lag_1,event_count_lag_2,total_loss_lag_2,high_loss_count_lag_2,event_count_lag_3,total_loss_lag_3,high_loss_count_lag_3,event_count_lag_6,total_loss_lag_6,high_loss_count_lag_6,event_count_lag_12,total_loss_lag_12,high_loss_count_lag_12,event_count_roll_3,total_loss_roll_3,high_loss_roll_3,event_count_roll_6,total_loss_roll_6,high_loss_roll_6,event_count_roll_12,total_loss_roll_12,high_loss_roll_12,loss_per_event,log_total_loss,future_window_end,future_high_loss,future_any_event,business_line_freq,event_type_freq,causal_factor_freq,province_occurred_freq,month_num,quarter_num,year_num,horizon_days
Asset management,"Clients, products & business practices",People,Anhui,2018-11,1,400000.0,400000.0,400000.0,400000.0,0,2.0,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,12.899222326086994,2019-04-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.025078369905956112,11,4,2018,180
Asset management,"Clients, products & business practices",People,Beijing,2017-08,1,200000.0,200000.0,200000.0,200000.0,0,1.0,2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,12.206077645517674,2018-01-28,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.09404388714733543,8,3,2017,180
Asset management,"Clients, products & business practices",People,Beijing,2017-11,1,80000.0,80000.0,80000.0,80000.0,0,1.0,2017-11-01,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000.0,0.0,1.0,200000.0,0.0,1.0,200000.0,0.0,80000.0,11.289794413577894,2018-04-30,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.09404388714733543,11,4,2017,180
Asset management,"Clients, products & business practices",People,Beijing,2017-12,1,900000.0,900000.0,900000.0,900000.0,0,0.0,2017-12-01,1.0,80000.0,0.0,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,280000.0,0.0,2.0,280000.0,0.0,2.0,280000.0,0.0,900000.0,13.710151153416941,2018-05-30,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.09404388714733543,12,4,2017,180
Asset management,"Clients, products & business practices",People,Beijing,2018-04,1,200000.0,200000.0,200000.0,200000.0,0,1.0,2018-04-01,1.0,900000.0,0.0,1.0,80000.0,0.0,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1180000.0,0.0,3.0,1180000.0,0.0,3.0,1180000.0,0.0,200000.0,12.206077645517674,2018-09-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.09404388714733543,4,2,2018,180
Asset management,"Clients, products & business practices",People,"Beijing,Guangxi",2017-11,1,1700000.0,1700000.0,1700000.0,1700000.0,0,1.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000.0,14.346139397261565,2018-04-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.0022391401701746527,11,4,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Hebei,Jiangsu,Hunan,Guangdong,Gansu",2018-01,1,32300000.0,32300000.0,32300000.0,32300000.0,1,11.0,2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32300000.0,17.290577819152638,2018-06-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.0004478280340349306,1,1,2018,180
Asset management,"Clients, products & business practices",People,"Beijing,Henan",2018-01,1,400000.0,400000.0,400000.0,400000.0,0,1.0,2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,12.899222326086994,2018-06-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.005373936408419167,1,1,2018,180
Asset management,"Clients, products & business practices",People,"Beijing,Hubei",2017-11,1,250000.0,250000.0,250000.0,250000.0,0,2.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,12.429220196836383,2018-04-30,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.005373936408419167,11,4,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Hubei",2017-12,2,1000000.0,500000.0,500000.0,500000.0,0,2.0,2017-12-01,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250000.0,0.0,1.0,250000.0,0.0,1.0,250000.0,0.0,500000.0,13.815511557963774,2018-05-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.005373936408419167,12,4,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Hubei",2019-05,1,600000.0,600000.0,600000.0,600000.0,0,1.0,2019-05-01,2.0,1000000.0,0.0,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1250000.0,0.0,3.0,1250000.0,0.0,3.0,1250000.0,0.0,600000.0,13.304686600863562,2019-10-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.005373936408419167,5,2,2019,180
Asset management,"Clients, products & business practices",People,"Beijing,Jilin",2017-11,1,300000.0,300000.0,300000.0,300000.0,0,1.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,12.611541086966115,2018-04-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.006269592476489028,11,4,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Shanghai,Guangxi",2017-11,1,400000.0,400000.0,400000.0,400000.0,0,1.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,12.899222326086994,2018-04-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.0008956560680698612,11,4,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Tianjin,Jiangsu",2019-09,1,500000.0,500000.0,500000.0,500000.0,0,2.0,2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,13.122365377402328,2020-02-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.0004478280340349306,9,3,2019,180
Asset management,"Clients, products & business practices",People,"Beijing,Tianjin,Jilin",2017-01,1,300000.0,300000.0,300000.0,300000.0,0,11.0,2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,12.611541086966115,2017-06-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.0004478280340349306,1,1,2017,180
Asset management,"Clients, products & business practices",People,"Beijing,Zhejiang",2017-12,1,1400000.0,1400000.0,1400000.0,1400000.0,0,1.0,2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,14.151983508870947,2018-05-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.00761307657859382,12,4,2017,180
Asset management,"Clients, products & business practices",People,Chongqing,2012-09,1,40000000.0,40000000.0,40000000.0,40000000.0,1,0.0,2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,17.50439003707821,2013-02-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.02328705776981639,9,3,2012,180
Asset management,"Clients, products & business practices",People,Chongqing,2017-06,1,500000.0,500000.0,500000.0,500000.0,0,1.0,2017-06-01,1.0,40000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40000000.0,1.0,1.0,40000000.0,1.0,1.0,40000000.0,1.0,500000.0,13.122365377402328,2017-11-28,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.02328705776981639,6,2,2017,180
Asset management,"Clients, products & business practices",People,Chongqing,2017-07,2,600000.0,300000.0,300000.0,300000.0,0,1.0,2017-07-01,1.0,500000.0,0.0,1.0,40000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40500000.0,1.0,2.0,40500000.0,1.0,2.0,40500000.0,1.0,300000.0,13.304686600863562,2017-12-28,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.02328705776981639,7,3,2017,180
Asset management,"Clients, products & business practices",People,Chongqing,2017-09,1,800000.0,800000.0,800000.0,800000.0,0,1.0,2017-09-01,2.0,600000.0,0.0,1.0,500000.0,0.0,1.0,40000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41100000.0,1.0,4.0,41100000.0,1.0,4.0,41100000.0,1.0,800000.0,13.592368256649284,2018-02-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.02328705776981639,9,3,2017,180
Asset management,"Clients, products & business practices",People,Guangxi,2017-07,1,250000.0,250000.0,250000.0,250000.0,0,1.0,2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,12.429220196836383,2017-12-28,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.014330497089117778,7,3,2017,180
Asset management,"Clients, products & business practices",People,Guangxi,2018-12,1,200000.0,200000.0,200000.0,200000.0,0,1.0,2018-12-01,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250000.0,0.0,1.0,250000.0,0.0,1.0,250000.0,0.0,200000.0,12.206077645517674,2019-05-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.014330497089117778,12,4,2018,180
Asset management,"Clients, products & business practices",People,Hebei,2018-12,2,100000.0,50000.0,50000.0,50000.0,0,1.0,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,11.51293546492023,2019-05-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.011195700850873265,12,4,2018,180
Asset management,"Clients, products & business practices",People,Heilongjiang,2017-11,1,300000.0,300000.0,300000.0,300000.0,0,1.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,12.611541086966115,2018-04-30,0,0,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.02283922973578146,11,4,2017,180
Asset management,"Clients, products & business practices",People,Henan,2018-02,1,900000.0,900000.0,900000.0,900000.0,0,1.0,2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,13.710151153416941,2018-07-31,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.04970891177787729,2,1,2018,180
Asset management,"Clients, products & business practices",People,Henan,2018-07,1,1000000.0,1000000.0,1000000.0,1000000.0,0,0.0,2018-07-01,1.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900000.0,0.0,1.0,900000.0,0.0,1.0,900000.0,0.0,1000000.0,13.815511557963774,2018-12-28,0,1,0.19435736677115986,0.14240931482310792,0.45947156291983876,0.04970891177787729,7,3,2018,180
